legacy_id,legacy_base_id,name,description,retail_price,pet_type,product_type,age,unit,size,flavour,image_urls,is_active,created_at,updated_at,stock_quantity,thumbnail_url,default_rating,is_featured,label,row_index
"1","1","Bestpet Kitten Chicken 85g","A nutritious food formulated for kittens with chicken (85g) helps maintain overall health.","0.300","cat","food","kitten","g","85","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/001.png","3.6","false","Food","718"
"2","1","Bestpet adult beef 85g","A nutritious meal designed for adult pets with beef (85g) ideal for everyday feeding.","0.300","cat","food","adult","g","85","beef",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/002.png","4.5","false","Food","626"
"3","1","Bestpet adult Chicken 85g","A nutritious meal designed for adult pets with chicken (85g) supports daily nutrition.","0.300","cat","food","adult","g","85","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/003.png","4.7","false","Food","222"
"4","1","Bestpet adult Salmon 85g","A high-quality meal designed for adult pets with salmon (85g) helps maintain overall health.","0.300","cat","food","adult","g","85","salmon",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/004.png","4.2","false","Food","596"
"5","1","Bestpet Adult Tuna 85g","A balanced food formulated for adult pets with tuna (85g) helps maintain overall health.","0.300","cat","food","adult","g","85","tuna",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/005.png","4.3","false","Food","48"
"6","1","Bestpet Adult Lamb 85g","A wholesome meal designed for adult pets with lamb (85g) helps maintain overall health.","0.300","cat","food","adult","g","85","lamb",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/006.png","3.9","false","Food","400"
"7","1","Bestpet Kitten Chicken 85g","A nutritious nutrition made for kittens with chicken (85g) supports daily nutrition.","0.250","cat","food","kitten","g","85","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/007.jpeg","4.9","false","Food","174"
"8","1","Bestpet Adult Chicken 85g","A high-quality meal designed for adult pets with chicken (85g) ideal for everyday feeding.","0.250","cat","food","adult","g","85","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/008.jpeg","3.7","false","Food","351"
"9","1","Bestpet Adult Beef 85g","A balanced meal designed for adult pets with beef (85g) supports daily nutrition.","0.250","cat","food","adult","g","85","beef",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/009.png","3.9","false","Food","697"
"10","1","Bestpet Adult Lamb 85g","A nutritious nutrition made for adult pets with lamb (85g) ideal for everyday feeding.","0.250","cat","food","adult","g","85","lamb",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/010.png","3.5","false","Food","436"
"11","1","Bestpet adult Salmon 85g","A wholesome nutrition made for adult pets with salmon (85g) ideal for everyday feeding.","0.250","cat","food","adult","g","85","salmon",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/011.jpg","4.2","false","Food","747"
"12","1","Bestpet adult beef 400g","A balanced food formulated for adult pets with beef (400g) supports daily nutrition.","0.500","cat","food","adult","g","400","beef",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/012.png","3.6","false","Food","427"
"13","1","Bestpet adult Chicken 400g","A nutritious food formulated for adult pets with chicken (400g) supports daily nutrition.","0.500","cat","food","adult","g","400","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/013.jpeg","3.8","false","Food","199"
"14","1","Bestpet kitten chicken 400g","A nutritious nutrition made for kittens with chicken (400g) ideal for everyday feeding.","0.500","cat","food","kitten","g","400","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/014.png","4.1","false","Food","64"
"15","1","Bestpet Adult Lamb 400g","A high-quality nutrition made for adult pets with lamb (400g) supports daily nutrition.","0.500","cat","food","adult","g","400","lamb",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/015.png","3.9","false","Food","44"
"16","1","Bestpet Adult Salmon 400g","A wholesome meal designed for adult pets with salmon (400g) helps maintain overall health.","0.500","cat","food","adult","g","400","salmon",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/016.jpeg","3.5","false","Food","292"
"17","1","Bestpet Adult Tuna & Anchovy 400g","A balanced nutrition made for adult pets with tuna (400g) supports daily nutrition.","0.500","cat","food","adult","g","400","tuna",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/017.jpeg","4.4","false","Food","347"
"18","1","Bestpet Kitten Chicken 1kg","A balanced nutrition made for kittens with chicken (1kg) helps maintain overall health.","1.500","cat","food","kitten","kg","1","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/018.jpeg","4.5","false","Food","190"
"19","1","Bestpet Adult Chicken 1kg","A wholesome meal designed for adult pets with chicken (1kg) ideal for everyday feeding.","1.500","cat","food","adult","kg","1","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/019.jpeg","3.8","false","Food","159"
"20","1","Bestpet Adult Mix 1Kg","A nutritious food formulated for adult pets (1kg) supports daily nutrition.","1.500","cat","food","adult","kg","1",,,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/020.jpeg","4.0","false","Food","59"
"21","1","Bestpet Adult Salmon 1Kg","A balanced meal designed for adult pets with salmon (1kg) ideal for everyday feeding.","1.500","cat","food","adult","kg","1","salmon",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/021.jpeg","4.7","false","Food","416"
"22","1","Bestpet Adult Chicken 15kg","A nutritious food formulated for adult pets with chicken (15kg) ideal for everyday feeding.","14.000","cat","food","adult","kg","15","chicken",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/022.jpeg","4.8","false","Food","736"
"23","1","Bestpet Adult Mix 15Kg","A wholesome food formulated for adult pets (15kg) helps maintain overall health.","14.000","cat","food","adult","kg","15",,,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/023.jpeg","4.8","false","Food","131"
"24","24","Happy feed adult  Gourmet 1.5kg","A nutritious nutrition made for adult pets with gourmet (1.5kg) helps maintain overall health.","2.500","cat","food","adult","kg","1.5","gourmet",,"true","2026-01-02 20:49:19.968373+00","2026-01-02 20:49:19.968373+00","1000","https://www.buypets.om/images/products/024.png","4.7","false","Food","448"
